respondent_id,group_id,age,gender,response
1,1,31,Female,1
2,4,19,Female,4
3,3,41,Male,5
4,5,45,Male,1
5,3,60,Female,4
6,2,29,Male,2
7,3,26,Male,2
8,1,43,Male,1
9,4,62,Male,1
10,5,47,Male,3
11,1,34,Male,4
12,3,62,Male,4
13,5,56,Female,2
14,4,46,Female,2
15,5,20,Male,3
16,2,31,Male,3
17,4,50,Female,2
18,2,53,Female,4
19,4,18,Male,1
20,3,58,Male,5
21,4,64,Female,3
22,5,18,Male,2
23,5,56,Female,4
24,4,44,Female,4
25,2,30,Female,2
26,4,33,Female,4
27,1,59,Male,1
28,1,32,Male,2
29,3,21,Female,4
30,4,54,Female,4
31,3,43,Male,3
32,3,25,Male,5
33,4,58,Male,4
34,1,44,Male,3
35,2,19,Female,2
36,3,54,Female,5
37,2,60,Male,2
38,2,41,Female,4
39,4,41,Female,5
40,4,50,Male,5
41,5,43,Female,3
42,4,64,Male,4
43,1,46,Female,3
44,5,53,Female,1
45,5,42,Male,3
46,5,56,Male,2
47,5,48,Female,5
48,2,39,Female,5
49,3,25,Female,4
50,1,36,Male,2
51,5,37,Female,5
52,1,26,Female,5
53,2,40,Female,2
54,3,51,Female,3
55,3,26,Female,3
56,3,49,Male,5
57,1,62,Female,4
58,2,28,Male,2
59,3,26,Male,5
60,1,64,Male,1
61,3,36,Male,2
62,3,48,Male,5
63,1,59,Male,4
64,5,32,Female,5
65,2,27,Female,3
66,4,48,Female,4
67,1,18,Female,3
68,3,26,Female,5
69,3,62,Male,4
70,3,49,Male,2
71,3,48,Female,2
72,5,62,Female,3
73,1,36,Male,1
74,1,23,Male,5
75,4,43,Male,5
76,3,31,Male,4
77,4,44,Female,1
78,3,46,Female,3
79,1,19,Female,4
80,5,20,Female,1
81,4,34,Female,5
82,2,40,Male,2
83,2,40,Male,4
84,4,61,Female,5
85,1,21,Female,5
86,3,34,Female,1
87,2,30,Female,4
88,1,49,Male,4
89,1,53,Female,4
90,1,57,Male,1
91,1,27,Female,5
92,3,60,Female,2
93,4,43,Female,1
94,1,52,Female,5
95,5,38,Male,1
96,2,19,Female,4
97,5,60,Male,5
98,2,53,Female,2
99,1,61,Female,4
100,5,53,Female,5
